AWB BL;CE Mercante;Status da Consulta;Data da última Consulta
BUSITJ755094;182405094988422;;
AMIGL240073132A;182405121730028;;
GZHITJ755449;182405116736480;;
XNBLU24000420;182405096330904;;
GDM24030036;182405117548776;;
HAM24030096;172405117746325;;
GZHNVT755021;182405116908019;;
GSSWOPY12464E;172405097421175;;
GSSWOPY12464D;172405097420284;;
DEHAMSEHAM2400885;172405122137749;;
SHYY24030616;182405104925932;;
HAM24030106;172405117746678;;
SRGNVT2403042;182405118994176;;
NBNAV24006543;182405101710102;;
MEDUK2796697;182405119240809;;
GSSWOPY13131A;172405096519791;;
GDM24020140;182405117510108;;
BUSITJ755093;182405094834620;;
98014000195;182405118950470;;
MEDUGW278766;172405116421082;;
